1.75,4,4,3.501
2,4,4,3.865
2.25,4,4,4.135
2.5,4,4,4.499
2.75,4,4,5.209
3,8,8,6.76
3.25,8,8,7.448
3.5,8,8,7.754
3.75,8,8,7.889
4,8,8,7.947
4.25,8,8,7.969
,,,
0,0,0,0.585
0.13,0,0,0.832
0.26,0,0,1.431
0.39,0,0,2.634
0.52,7,7,4.951
0.65,7,7,6.401
0.78,7,7,7.599
0.91,7,7,9.049
1.04,14,14,11.366
1.17,14,14,12.569
1.3,14,14,13.168
1.43,14,14,13.415
,,,
0,0,0,0.194
0.17,0,0,0.256
0.34,0,0,0.401
0.51,0,0,0.675
0.68,0,0,1.165
0.85,3,3,2.029
1.02,3,3,2.582
1.19,3,3,3
1.36,3,3,3.418
1.53,3,3,3.971
1.7,6,6,4.835
1.87,6,6,5.325
2.04,6,6,5.599
2.21,6,6,5.744
2.38,6,6,5.806
,,,
0,0,0,0.614
0.15,0,0,0.96
0.3,0,0,1.845
0.45,5,5,3.769
0.6,5,5,5
0.75,5,5,6.231
0.9,10,10,8.155
1.05,10,10,9.04
1.2,10,10,9.386
,,,
0,0,0,0.485
0.15,0,0,0.606
0.3,1,1,0.879
0.45,1,1,1.121
0.6,2,2,1.394
0.75,2,2,1.515
,,,
0,0,0,0
0.22,0,0,0
0.44,0,0,0
0.66,0,0,0.002
0.88,0,0,0.012
1.1,0,0,0.078
1.32,0,0,0.52
1.54,4,4,3.48
1.76,4,4,3.922
1.98,4,4,3.989
2.2,4,4,4
2.42,4,4,4.011
2.64,4,4,4.078
2.86,4,4,4.52
3.08,8,8,7.48
3.3,8,8,7.922
3.52,8,8,7.988
3.74,8,8,7.998
3.96,8,8,8
4.18,8,8,8
4.4,8,8,8
,,,
0,0,0,4.282
0.19,6,6,6
0.38,12,12,7.718
,,,
0,0,0,2.392
0.04,0,0,2.487
0.08,0,0,2.682
0.12,0,0,2.985
0.16,4,4,3.407
0.2,4,4,3.805
0.24,4,4,4.195
0.28,4,4,4.593
0.32,8,8,5.015
0.36,8,8,5.318
0.4,8,8,5.513
0.44,8,8,5.608
,,,
0,0,0,1.193
0.07,0,0,1.258
0.14,0,0,1.391
0.21,0,0,1.6
0.28,0,0,1.897
0.35,3,3,2.296
0.42,3,3,2.657
0.49,3,3,3
0.56,3,3,3.343
0.63,3,3,3.704
0.7,6,6,4.103
0.77,6,6,4.4
0.84,6,6,4.609
0.91,6,6,4.742
0.98,6,6,4.807
,,,
0,0,0,0.091
0.16,0,0,0.138
0.32,0,0,0.256
0.48,0,0,0.508
0.64,0,0,1.023
0.8,3,3,2.068
0.96,3,3,2.63
1.12,3,3,3
1.28,3,3,3.37
1.44,3,3,3.932
1.6,6,6,4.977
1.76,6,6,5.492
1.92,6,6,5.744
2.08,6,6,5.862
2.24,6,6,5.909
,,,
0,0,0,1.375
0.13,0,0,1.634
0.26,0,0,2.199
0.39,4,4,3.177
0.52,4,4,4
0.65,4,4,4.823
0.78,8,8,5.801
0.91,8,8,6.366
1.04,8,8,6.625
,,,
0,0,0,0.932
0.15,0,0,1.356
0.3,0,0,2.398
0.45,6,6,4.533
0.6,6,6,6
0.75,6,6,7.467
0.9,12,12,9.602
1.05,12,12,10.644
1.2,12,12,11.068
,,,
0,0,0,0.547
0.11,0,0,0.653
0.22,0,0,0.885
0.33,0,0,1.289
0.44,0,0,1.942
0.55,0,0,2.971
0.66,7,7,4.576
0.77,7,7,5.711
0.88,7,7,6.596
0.99,7,7,7.404
1.1,7,7,8.289
1.21,7,7,9.424
1.32,14,14,11.029
1.43,14,14,12.058
1.54,14,14,12.711
1.65,14,14,13.115
1.76,14,14,13.347
1.87,14,14,13.453
,,,
0,0,0,0.105
0.15,0,0,0.164
0.3,0,0,0.315
0.45,0,0,0.643
0.6,0,0,1.333
0.75,4,4,2.772
0.9,4,4,3.521
1.05,4,4,4
1.2,4,4,4.479
1.35,4,4,5.228
1.5,8,8,6.667
1.65,8,8,7.357
1.8,8,8,7.685
1.95,8,8,7.836
2.1,8,8,7.895
,,,
0,0,0,0.204
0.24,0,0,0.498
0.48,0,0,1.51
0.72,6,6,4.695
0.96,6,6,6
1.2,6,6,7.305
1.44,12,12,10.49
1.68,12,12,11.502
1.92,12,12,11.796
,,,
0,0,0,0.188
0.08,0,0,0.225
0.16,0,0,0.304
0.24,0,0,0.443
0.32,0,0,0.668
0.4,0,0,1.022
0.48,0,0,1.574
0.56,0,0,2.431
0.64,6,6,3.758
0.72,6,6,4.651
0.8,6,6,5.282
0.88,6,6,5.775
0.96,6,6,6.225
1.04,6,6,6.718
1.12,6,6,7.349
1.2,6,6,8.242
1.28,12,12,9.569
1.36,12,12,10.426
1.44,12,12,10.978
1.52,12,12,11.332
1.6,12,12,11.557
1.68,12,12,11.696
1.76,12,12,11.775
1.84,12,12,11.812
,,,
0,0,0,0.394
0.12,0,0,0.471
0.24,0,0,0.638
0.36,0,0,0.929
0.48,0,0,1.4
0.6,0,0,2.142
0.72,0,0,3.299
0.84,8,8,5.095
0.96,8,8,6.328
1.08,8,8,7.238
1.2,8,8,8
1.32,8,8,8.762
1.44,8,8,9.672
1.56,8,8,10.905
1.68,16,16,12.701
1.8,16,16,13.858
1.92,16,16,14.6
2.04,16,16,15.071
2.16,16,16,15.362
2.28,16,16,15.529
2.4,16,16,15.606
,,,
0,0,0,1.675
0.17,0,0,2.213
0.34,4,4,3.462
0.51,4,4,4.538
0.68,8,8,5.787
0.85,8,8,6.325
,,,
0,0,0,0.01
0.23,0,0,0.023
0.46,0,0,0.066
0.69,0,0,0.197
0.92,0,0,0.588
1.15,0,0,1.758
1.38,7,7,5.252
1.61,7,7,6.435
1.84,7,7,6.869
2.07,7,7,7.131
2.3,7,7,7.565
2.53,7,7,8.748
2.76,14,14,12.242
2.99,14,14,13.412
3.22,14,14,13.803
3.45,14,14,13.934
3.68,14,14,13.977
3.91,14,14,13.99
,,,
0,0,0,0.006
0.23,0,0,0.013
0.46,0,0,0.038
0.69,0,0,0.113
0.92,0,0,0.336
1.15,0,0,1.004
