1.080	5.000	5.000	5.262
1.200	5.000	5.000	5.864
1.320	5.000	5.000	6.717
1.440	10.000	10.000	8.071
1.560	10.000	10.000	8.863
1.680	10.000	10.000	9.323
1.800	10.000	10.000	9.585
1.920	10.000	10.000	9.727
2.040	10.000	10.000	9.788

0.000	0.000	0.000	0.975
0.090	0.000	0.000	1.172
0.180	0.000	0.000	1.607
0.270	0.000	0.000	2.368
0.360	5.000	5.000	3.607
0.450	5.000	5.000	4.565
0.540	5.000	5.000	5.435
0.630	5.000	5.000	6.393
0.720	10.000	10.000	7.632
0.810	10.000	10.000	8.393
0.900	10.000	10.000	8.828
0.990	10.000	10.000	9.025

0.000	0.000	0.000	0.370
0.170	0.000	0.000	0.586
0.340	0.000	0.000	1.145
0.510	0.000	0.000	2.375
0.680	7.000	7.000	4.995
0.850	7.000	7.000	6.441
1.020	7.000	7.000	7.559
1.190	7.000	7.000	9.005
1.360	14.000	14.000	11.625
1.530	14.000	14.000	12.855
1.700	14.000	14.000	13.414
1.870	14.000	14.000	13.630

0.000	0.000	0.000	0.359
0.220	0.000	0.000	0.552
0.440	0.000	0.000	1.042
0.660	0.000	0.000	2.092
0.880	6.000	6.000	4.267
1.100	6.000	6.000	5.510
1.320	6.000	6.000	6.490
1.540	6.000	6.000	7.733
1.760	12.000	12.000	9.908
1.980	12.000	12.000	10.958
2.200	12.000	12.000	11.448
2.420	12.000	12.000	11.641

0.000	0.000	0.000	0.025
0.210	0.000	0.000	0.048
0.420	0.000	0.000	0.113
0.630	0.000	0.000	0.278
0.840	0.000	0.000	0.693
1.050	0.000	0.000	1.726
1.260	6.000	6.000	4.300
1.470	6.000	6.000	5.355
1.680	6.000	6.000	5.834
1.890	6.000	6.000	6.166
2.100	6.000	6.000	6.645
2.310	6.000	6.000	7.700
2.520	12.000	12.000	10.274
2.730	12.000	12.000	11.307
2.940	12.000	12.000	11.722
3.150	12.000	12.000	11.887
3.360	12.000	12.000	11.952
3.570	12.000	12.000	11.975

0.000	0.000	0.000	0.060
0.250	0.000	0.000	0.110
0.500	0.000	0.000	0.253
0.750	0.000	0.000	0.609
1.000	0.000	0.000	1.476
1.250	5.000	5.000	3.584
1.500	5.000	5.000	4.501
1.750	5.000	5.000	5.000
2.000	5.000	5.000	5.499
2.250	5.000	5.000	6.416
