3.465,4.019,5.216,7.248,9,10.752,12.784,13.981,14.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.259,0.342,0.535,0.9,1.553,2.706,3.442,4,4.558,5.294,6.447,7.1,7.465,7.658,7.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.021,1.848,4.173,5.827,8.152,8.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.318,1.464,1.773,2.279,3.038,3.691,4.309,4.962,5.721,6.227,6.536,6.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.775,0.876,1.09,1.445,1.988,2.788,3.431,4,4.569,5.212,6.012,6.555,6.91,7.124,7.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02,2.02,5,7,9.98,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.269,0.379,0.644,1.173,2.183,4.086,5.206,6,6.794,7.914,9.817,10.827,11.356,11.621,11.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.423,0.551,0.845,1.395,2.367,4.055,5.155,6,6.845,7.945,9.633,10.605,11.155,11.449,11.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.378,0.472,0.685,1.068,1.719,2.799,4.579,5.753,6.616,7.384,8.247,9.421,11.201,12.281,12.932,13.315,13.528,13.622,0,0,0,0,0,0,0,0,0,0,0,0
0.272,0.482,1.065,2.474,5.798,7.417,8.583,10.202,13.526,14.935,15.518,15.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.407,0.484,0.651,0.941,1.407,2.138,3.27,4.077,4.71,5.29,5.923,6.73,7.862,8.593,9.059,9.349,9.516,9.593,0,0,0,0,0,0,0,0,0,0,0,0
0.085,0.131,0.247,0.496,1.012,2.073,2.635,3,3.365,3.927,4.988,5.504,5.753,5.869,5.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.018,0.053,0.161,0.489,1.487,4.521,5.529,5.892,6.108,6.471,7.479,10.513,11.511,11.839,11.947,11.982,11.992,0,0,0,0,0,0,0,0,0,0,0,0
0.22,0.399,0.9,2.131,5.089,6.498,7.502,8.911,11.869,13.1,13.601,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,1.116,1.454,2.028,2.932,3.662,4.338,5.068,5.972,6.546,6.884,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.251,4,4.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.093,0.141,0.26,0.512,1.027,2.066,2.628,3,3.372,3.934,4.973,5.488,5.74,5.859,5.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.669,0.742,0.895,1.146,1.522,1.846,2.154,2.478,2.854,3.105,3.258,3.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099,0.139,0.233,0.42,0.774,1.435,2.665,3.365,3.813,4.187,4.635,5.335,6.565,7.226,7.58,7.767,7.861,7.901,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.03,0.064,0.14,0.312,0.695,1.552,3.466,4.335,4.752,5,5.248,5.665,6.534,8.448,9.305,9.688,9.86,9.936,9.97,9.982,0,0,0,0,0,0,0,0,0
2.585,2.933,3.675,4.911,6,7.089,8.325,9.067,9.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133,0.199,0.362,0.702,1.385,2.748,3.497,4,4.503,5.252,6.615,7.298,7.638,7.801,7.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.039,0.07,0.159,0.375,0.896,2.143,2.695,3,3.305,3.857,5.104,5.625,5.841,5.93,5.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233,0.308,0.484,0.817,1.416,1.824,2.176,2.584,3.183,3.516,3.692,3.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.537,0.69,1.039,1.684,2.808,4.73,6.006,7,7.994,9.27,11.192,12.316,12.961,13.31,13.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.036,0.064,0.141,0.328,0.768,1.803,4.233,5.296,5.813,6.187,6.704,7.767,10.197,11.232,11.672,11.859,11.936,11.964,0,0,0,0,0,0,0,0,0,0,0,0
0.115,0.133,0.173,0.24,0.346,0.508,0.75,1.113,1.653,2.458,3.657,4.48,5.06,5.49,5.839,6.161,6.51,6.94,7.52,8.343,9.542,10.347,10.887,11.25,11.492,11.654,11.76,11.827,11.867,11.885
0.003,0.006,0.016,0.044,0.127,0.362,1.037,2.966,3.643,3.889,4,4.111,4.357,5.034,6.963,7.638,7.873,7.956,7.984,7.994,7.997,0,0,0,0,0,0,0,0,0
0.427,0.583,0.952,1.67,3,5.427,6.913,8,9.087,10.573,13,14.33,15.048,15.417,15.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.651,0.875,1.4,2.408,4.243,5.475,6.525,7.757,9.592,10.6,11.125,11.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249,0.281,0.349,0.463,0.637,0.894,1.266,1.803,2.573,3.676,4.478,5.083,5.57,6,6.43,6.917,7.522,8.324,9.427,10.197,10.734,11.106,11.363,11.537,11.651,11.719,11.751,0,0,0
0.002,0.004,0.011,0.029,0.078,0.214,0.587,1.606,4.396,5.417,5.796,5.95,6.05,6.204,6.583,7.604,10.394,11.413,11.786,11.922,11.971,11.989,11.996,11.998,0,0,0,0,0,0
5.014,5.029,5.059,5.105,5.166,5.243,5.336,5.444,5.57,5.693,5.816,5.939,6.061,6.184,6.307,6.43,6.556,6.664,6.757,6.834,6.895,6.941,6.971,6.986,0,0,0,0,0,0
